2016-12-13-4-47-16    UserID [0]    Transaction Complete 
2016-12-13-4-47-16    UserID [1]    Transaction Complete 
2016-12-13-4-47-16    UserID [0]    Transaction Complete 
2016-12-13-4-47-16    UserID [1]    Transaction Complete 
2016-12-13-4-47-16    UserID [0]    Transaction Complete 
2016-12-13-4-47-16    UserID [1]    Transaction Complete 
2016-12-13-4-47-17    UserID [0]    Transaction Complete 
2016-12-13-4-47-17    UserID [1]    Transaction Complete 
2016-12-13-4-47-17    UserID [0]    Transaction Complete 
2016-12-13-4-47-17    UserID [1]    Transaction Complete 
2016-12-13-4-47-17    UserID [0]    Transaction Complete 
2016-12-13-4-47-17    UserID [1]    Transaction Complete 
2016-12-13-4-47-17    UserID [0]    Transaction Complete 
2016-12-13-4-47-17    UserID [1]    Transaction Complete 
2016-12-13-4-47-18    UserID [0]    Transaction Complete 
2016-12-13-4-47-18    UserID [1]    Transaction Complete 
2016-12-13-4-47-18    UserID [1]    Transaction Complete 
2016-12-13-4-47-18    UserID [0]    Transaction Complete 
2016-12-13-4-47-18    UserID [1]    Transaction Complete 
2016-12-13-4-47-18    UserID [0]    Transaction Complete 
2016-12-13-4-47-18    UserID [1]    Transaction Complete 
2016-12-13-4-47-18    UserID [0]    Transaction Complete 
2016-12-13-4-47-19    UserID [1]    Transaction Complete 
2016-12-13-4-47-19    UserID [0]    Transaction Complete 
2016-12-13-4-47-19    UserID [1]    Transaction Complete 
2016-12-13-4-47-19    UserID [0]    Transaction Complete 
2016-12-13-4-47-19    UserID [1]    Transaction Complete 
2016-12-13-4-47-19    UserID [0]    Transaction Complete 
2016-12-13-4-47-19    UserID [1]    Transaction Complete 
2016-12-13-4-47-19    UserID [0]    Transaction Complete 
2016-12-13-4-47-20    UserID [0]    Transaction Complete 
2016-12-13-4-47-20    UserID [1]    Transaction Complete 
2016-12-13-4-47-20    UserID [0]    Transaction Complete 
2016-12-13-4-47-20    UserID [1]    Transaction Complete 
2016-12-13-4-47-20    UserID [1]    Transaction Complete 
2016-12-13-4-47-20    UserID [0]    Transaction Complete 
2016-12-13-4-47-20    UserID [1]    Transaction Complete 
2016-12-13-4-47-20    UserID [0]    Transaction Complete 
2016-12-13-4-47-21    UserID [1]    Transaction Complete 
2016-12-13-4-47-21    UserID [0]    Transaction Complete 
2016-12-13-4-47-21    UserID [1]    Transaction Complete 
2016-12-13-4-47-21    UserID [0]    Transaction Complete 
2016-12-13-4-47-21    UserID [0]    Transaction Complete 
2016-12-13-4-47-21    UserID [1]    Transaction Complete 
2016-12-13-4-47-21    UserID [0]    Transaction Complete 
2016-12-13-4-47-21    UserID [1]    Transaction Complete 
2016-12-13-4-47-22    UserID [0]    Transaction Complete 
2016-12-13-4-47-22    UserID [1]    Transaction Complete 
2016-12-13-4-47-22    UserID [0]    Transaction Complete 
2016-12-13-4-47-22    UserID [1]    Transaction Complete 
2016-12-13-4-47-22    UserID [1]    Transaction Complete 
2016-12-13-4-47-22    UserID [0]    Transaction Complete 
2016-12-13-4-47-22    UserID [0]    Transaction Complete 
2016-12-13-4-47-22    UserID [1]    Transaction Complete 
2016-12-13-4-47-23    UserID [0]    Transaction Complete 
2016-12-13-4-47-23    UserID [1]    Transaction Complete 
2016-12-13-4-47-23    UserID [0]    Transaction Complete 
2016-12-13-4-47-23    UserID [1]    Transaction Complete 
2016-12-13-4-47-23    UserID [0]    Transaction Complete 
2016-12-13-4-47-23    UserID [1]    Transaction Complete 
2016-12-13-4-47-23    UserID [0]    Transaction Complete 
2016-12-13-4-47-23    UserID [1]    Transaction Complete 
2016-12-13-4-47-24    UserID [0]    Transaction Complete 
2016-12-13-4-47-24    UserID [1]    Transaction Complete 
2016-12-13-4-47-24    UserID [0]    Transaction Complete 
2016-12-13-4-47-24    UserID [1]    Transaction Complete 
2016-12-13-4-47-24    UserID [0]    Transaction Complete 
2016-12-13-4-47-24    UserID [1]    Transaction Complete 
2016-12-13-4-47-24    UserID [0]    Transaction Complete 
2016-12-13-4-47-24    UserID [1]    Transaction Complete 
2016-12-13-4-47-25    UserID [0]    Transaction Complete 
2016-12-13-4-47-25    UserID [1]    Transaction Complete 
2016-12-13-4-47-25    UserID [1]    Transaction Complete 
2016-12-13-4-47-25    UserID [0]    Transaction Complete 
2016-12-13-4-47-25    UserID [1]    Transaction Complete 
2016-12-13-4-47-25    UserID [0]    Transaction Complete 
2016-12-13-4-47-25    UserID [1]    Transaction Complete 
2016-12-13-4-47-25    UserID [0]    Transaction Complete 
2016-12-13-4-47-25    UserID [1]    Transaction Complete 
2016-12-13-4-47-25    UserID [0]    Transaction Complete 
